M,F,Fascia di eta,Stato civile,Titolo di studio,Attivita lavorativa,Numero dei componenti nucleo familiare,Siti internet frequentati maggiormente,Canali social frequentati abitualmente,Mezzi di informazione utilizzati in prevalenza,Principali hobby,Genere di film preferito,Sala cinematografica di riferimento,Criterio di scelta della sala cinematografica,Numero medio di film visti al cinema ogni mese,Abitualmente va al cinema,Influiscono sulla scelta dei film,Fonte principale di reperimento informazioni sui film,"Oltre che al cinema, preferisce vedere i film",Numero medio di libri letti in un anno,Numero medio di concerti visti in un anno,Numero medio di mostre viste in un anno,Numero medio di musei visitati in un anno,Numero medio di rappresentazioni teatrali viste in un anno,A quali attivita organizzate e promosse da Moovie Club per i propri iscritti  maggiormente interessato?
0,1,24 � 30,Celibe - Nubile,Laurea,Disoccupato/a,3,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Cinema e teatro,Fantascienza,The Space,Qualit� di immagine e suono,Pi� di 2,Con gli amici,Le recensioni online e offline,Web,Su PC o tablet attraverso digital download,Da 1 a 3,Nessuno,Da 1 a 3,Pi� di 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,24 � 30,Coniugato/a  - convivente,Laurea,Studente/ssa,2,Blog,Facebook,"PC, tablet o smartphone",Arte e letteratura,Thriller,UCI,Promozioni e sconti sul biglietto di ingresso,Da 1 a 2,Con il partner,Il regista o il cast,Web,Sui canali televisivi satellitari a pagamento,Pi� di 3,Pi� di 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,0,30 � 40,Coniugato/a  - convivente,Laurea,Disoccupato/a,2,Blog,Facebook,"PC, tablet o smartphone",Viaggi,Commedia,UCI,Vicinanza a casa,Meno di 1,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Nessuna,Inviti gratuiti ad anteprime
0,1,30 � 40,Coniugato/a  - convivente,Laurea,Lavoratore dipendente,2,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Cinema e teatro,Thriller,UCI,Vicinanza a casa,Pi� di 2,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Biglietti cinema omaggio
0,0,24 � 30,Celibe - Nubile,Diploma di scuola media superiore,Studente/ssa,3,Altri,Facebook,"PC, tablet o smartphone",Musica,Azione,UCI,Promozioni e sconti sul biglietto di ingresso,Da 1 a 2,Con gli amici,Il passaparola,Siti internet specializzati,Su PC o tablet attraverso digital download,Da 1 a 3,Nessuno,Nessuna,Nessuno,Nessuna,Biglietti cinema omaggio
0,1,30 � 40,Separato/a � divorziato/a non convivente,Diploma di scuola media superiore,Lavoratore dipendente,2,Blog,Twitter,Televisione,Cinema e teatro,Commedia,UCI,Promozioni e sconti sul biglietto di ingresso,Pi� di 2,Da solo,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Biglietti cinema omaggio
0,0,oltre 50,Coniugato/a  - convivente,Licenza media,Lavoratore dipendente,pi� di 3,Informazione sportiva,Facebook,Televisione,Cinema e teatro,Azione,UCI,Vicinanza a casa,Da 1 a 2,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Nessuna,Nessuno,Pi� di 3,Inviti gratuiti ad anteprime
0,1,24 � 30,Celibe - Nubile,Laurea,Lavoratore dipendente,2,"Cultura, cinema e spettacolo",YouTube,"PC, tablet o smartphone",Musica,Drammatico,UCI,Film programmati,Pi� di 2,Con gli amici,Le recensioni online e offline,Web,Sui canali televisivi satellitari a pagamento,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Inviti gratuiti ad anteprime
1,0,40 � 50,Coniugato/a  - convivente,Laurea,Lavoratore dipendente,2,Notiziari,Facebook,"PC, tablet o smartphone",Cinema e teatro,Commedia,The Space,Vicinanza a casa,Da 1 a 2,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi satellitari a pagamento,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Pi� di 3,Inviti gratuiti ad anteprime
1,0,30 � 40,Coniugato/a  - convivente,Diploma di scuola media superiore,,,,,,,,,,,,,,,,,,,,
